location,language,sex,education,age,most_inclusive_label,religion_or_education
donggu,Tibetan_Donggu,male,,52,MB,0
donggu,Tibetan_Donggu,male,,22,,0
donggu,Tibetan_Donggu,male,,69,,0
donggu,Tibetan_Donggu,male,,68,MBW,0
donggu,Tibetan_Donggu,male,9,32,MB,0
donggu,Tibetan_Donggu,male,9,32,MB,0
donggu,Tibetan_Donggu,male,9,32,MB,0
donggu,Tibetan_Donggu,,,,MB,0
donggu,Tibetan_Donggu,,,,MB,0
donggu,Tibetan_Donggu,female,,38,MB,0
donggu,Tibetan_Donggu,,,,MBW,0
donggu,Tibetan_Donggu,female,,48,MB,0
donggu,Tibetan_Donggu,male,,45,MB,0
donggu,Tibetan_Donggu,female,,,,0
donggu,Tibetan_Donggu,male,16,86,MB,0
donggu,Tibetan_Donggu,male,6,59,MB,0
bamei,Tibetan_Bamei,,,30,,0
bamei,Tibetan_Bamei,,,30,,0
bamei,Tibetan_Bamei,,6,30,MB,0
bamei,Tibetan_Bamei,,,,MB,0
bamei,Tibetan_Bamei,female,,58,,0
bamei,Tibetan_Bamei,male,,,MB,0
bamei,Tibetan_Bamei,,,,MBW,0
bamei,Tibetan_Bamei,,,,M,0
bamei,Tibetan_Bamei,female,0,45,MBW,0
bamei,Tibetan_Bamei,female,,52,MBW,0
bamei,Tibetan_Bamei,male,,35,M,0
bamei,Tibetan_Bamei,,,,M,0
bamei,Tibetan_Bamei,male,,35,MBW,0
bamei,Tibetan_Bamei,,,,M,0
bamei,Tibetan_Bamei,male,,50,MBW,0
bamei,Tibetan_Bamei,male,,50,MBW,0
bamei,Tibetan_Bamei,female,,35,,0
bamei,Tibetan_Bamei,male,,40,MB,0
bamei,Tibetan_Bamei,male,,73,M,0
bamei,Tibetan_Bamei,male,,80,MB,0
bamei,Tibetan_Bamei,female,,30,MBW,0
lijiazui,Mongolian_Lijiazui,female,,,M,0
lijiazui,Mongolian_Lijiazui,female,0,60,MBW,0
lijiazui,Mongolian_Lijiazui,female,0,30,,0
lijiazui,Mongolian_Lijiazui,male,0,84,MB,0
lijiazui,Mongolian_Lijiazui,male,0,41,M,0
lijiazui,Mongolian_Lijiazui,female,0,36,M,0
lijiazui,Mongolian_Lijiazui,female,0,39,M,0
lijiazui,Mongolian_Lijiazui,,,,MB,0
lijiazui,Mongolian_Lijiazui,female,1,40,M,0
lijiazui,Mongolian_Lijiazui,female,0,22,MBW,0
lijiazui,Mongolian_Lijiazui,,,,MB,0
lijiazui,Mongolian_Lijiazui,female,0,44,MBW,0
lijiazui,Mongolian_Lijiazui,male,0,39,MB,0
lijiazui,Mongolian_Lijiazui,male,0,31,M,0
lijiazui,Mongolian_Lijiazui,female,0,31,M,0
lijiazui,Mongolian_Lijiazui,female,7,15,,0
lijiazui,Mongolian_Lijiazui,female,7,12,,0
lijiazui,Mongolian_Lijiazui,female,0,43,,0
lijiazui,Mongolian_Lijiazui,female,0,30,MBW,0
lijiazui,Mongolian_Lijiazui,male,12,16,,0
lijiazui,Mongolian_Lijiazui,female,0,70,M,0
lijiazui,Mongolian_Lijiazui,female,,,MBW,0
lijiazui,Mongolian_Lijiazui,male,0,79,MBW,0
lijiazui,Mongolian_Lijiazui,male,9,18,,0
lijiazui,Mongolian_Lijiazui,female,0,72,MBW,0
lijiazui,Mongolian_Lijiazui,female,7,14,,0
lijiazui,Mongolian_Lijiazui,female,0,40,MBW,0
lijiazui,Mongolian_Lijiazui,female,0,30,MB,0
guishan,Sani_Guishan,female,8,40,,0
guishan,Sani_Guishan,male,,50,MB,0
guishan,Sani_Guishan,male,6,40,MBW,0
guishan,Sani_Guishan,male,6,50,MB,0
guishan,Sani_Guishan,female,6,40,MBW,0
guishan,Sani_Guishan,male,9,43,M,0
guishan,Sani_Guishan,female,12,42,,0
guishan,Sani_Guishan,male,0,60,M,0
guishan,Sani_Guishan,female,9,23,MBW,0
guishan,Sani_Guishan,female,,50,MBW,0
guishan,Sani_Guishan,male,9,30,MB,0
guishan,Sani_Guishan,female,9,15,M,0
guishan,Sani_Guishan,female,12,19,M,0
guishan,Sani_Guishan,male,6,48,M,0
anlongxinglong,Buyi_Anlongxinglong,male,2,60,MBW,0
anlongxinglong,Buyi_Anlongxinglong,female,2,73,MBW,0
anlongxinglong,Buyi_Anlongxinglong,male,10,60,MBW,0
anlongxinglong,Buyi_Anlongxinglong,male,9,50,MBW,0
anlongxinglong,Buyi_Anlongxinglong,male,,,M,0
anlongxinglong,Buyi_Anlongxinglong,male,,,M,0
anlongxinglong,Buyi_Anlongxinglong,male,,,M,0
anlongxinglong,Buyi_Anlongxinglong,female,0,66,MBW,0
anlongxinglong,Buyi_Anlongxinglong,female,0,60,MBW,0
anlongxinglong,Buyi_Anlongxinglong,female,4,43,MBW,0
anlongxinglong,Buyi_Anlongxinglong,female,12,43,,0
anlongxinglong,Buyi_Anlongxinglong,male,12,50,MB,0
anlongxinglong,Buyi_Anlongxinglong,female,3,77,MB,0
anlongxinglong,Buyi_Anlongxinglong,male,9,36,MBW,0
anlongxinglong,Buyi_Anlongxinglong,male,6,40,MBW,0
anlongxinglong,Buyi_Anlongxinglong,male,5,56,,0
anlongxinglong,Buyi_Anlongxinglong,female,6,50,,0
anlongxinglong,Buyi_Anlongxinglong,male,6,63,,0
anlongxinglong,Buyi_Anlongxinglong,female,,,,0
badi,Tibetan_Badi,male,6,30,,0
badi,Tibetan_Badi,female,,,,0
badi,Tibetan_Badi,male,0,50,,0
badi,Tibetan_Badi,male,,,MBW,0
badi,Tibetan_Badi,,,70,,0
badi,Tibetan_Badi,female,,58,M,0
badi,Tibetan_Badi,female,,35,MB,0
badi,Tibetan_Badi,female,0,50,M,0
badi,Tibetan_Badi,male,5,50,MB,0
badi,Tibetan_Badi,male,9,44,M,0
badi,Tibetan_Badi,female,0,71,M,0
badi,Tibetan_Badi,female,6,61,M,0
badi,Tibetan_Badi,female,,,M,0
badi,Tibetan_Badi,,,,,0
badi,Tibetan_Badi,,,,,0
badi,Tibetan_Badi,,,,,0
badi,Tibetan_Badi,female,9,63,M,0
badi,Tibetan_Badi,,,,,0
badi,Tibetan_Badi,male,3,76,MB,0
deqin,Tibetan_Deqin,male,0,39,MB,0
deqin,Tibetan_Deqin,male,7,53,MB,0
deqin,Tibetan_Deqin,female,6,34,MB,0
deqin,Tibetan_Deqin,female,0,38,M,0
deqin,Tibetan_Deqin,female,,,M,0
deqin,Tibetan_Deqin,male,5,61,MBW,0
